Id,Sample #,Time,parent,voltage [V],temp [C],light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
24,,9/24/2015 12:26:15 AM,20,2.9537,28.881,529,0.79977,0.48795,0.46485,0.48217,0.57745
24,,9/24/2015 12:26:15 AM,20,2.9537,28.881,529,0.79977,0.48795,0.46485,0.48217,0.57745
40,,9/24/2015 12:26:24 AM,24,2.7954,32.803,392,0.74873,0.56291,0.56564,0.64762,0.7378
3,,9/24/2015 12:26:29 AM,0,3.0105,28.371,667,1.1801,0.73864,0.59738,0.52087,0.5297
20,,9/24/2015 12:26:33 AM,0,2.9261,28.966,479,0.76083,0.57777,0.47767,0.63212,0.80088
10,,9/24/2015 12:27:10 AM,0,2.8593,15.684,694,1.5065,1.0705,0.84967,0.8329,0.85526
11,,9/24/2015 12:27:10 AM,0,3.0471,29.308,253,1.7037,0.84889,0.57189,0.5838,0.61657
13,,9/24/2015 12:27:10 AM,0,3.0471,28.116,387,0.67912,0.51827,0.48551,0.49742,0.51827
24,,9/24/2015 12:27:13 AM,20,2.9537,28.881,383,0.58323,0.45619,0.46196,0.48217,0.57745
24,,9/24/2015 12:27:14 AM,20,2.9537,28.881,383,0.58323,0.45619,0.46196,0.48217,0.57745
24,,9/24/2015 12:27:14 AM,20,2.9537,28.881,383,0.58323,0.45619,0.46196,0.48217,0.57745
53,,9/24/2015 12:27:19 AM,3,2.9192,22.882,728,1.1557,0.61067,0.50509,0.51079,0.74764
40,,9/24/2015 12:27:24 AM,24,2.7954,32.803,391,0.74873,0.56291,0.56291,0.64762,0.73233
40,,9/24/2015 12:27:25 AM,24,2.7954,32.803,391,0.74873,0.56291,0.56291,0.64762,0.73233
3,,9/24/2015 12:27:27 AM,0,2.9961,28.371,667,1.1773,0.73803,0.59453,0.52131,0.53009
20,,9/24/2015 12:27:32 AM,0,2.9261,28.966,478,0.76083,0.57777,0.47767,0.6407,0.79802
10,,9/24/2015 12:28:08 AM,0,2.8593,15.684,690,1.4925,1.0593,0.84408,0.83011,0.85526
11,,9/24/2015 12:28:09 AM,0,3.0471,29.308,0,1.5697,0.78932,0.55997,0.57784,0.61657
13,,9/24/2015 12:28:09 AM,0,3.0323,28.116,1,0.4298,0.47723,0.4713,0.48612,0.50983
24,,9/24/2015 12:28:12 AM,20,2.9537,28.881,443,0.67273,0.47062,0.46196,0.47928,0.58611
53,,9/24/2015 12:28:15 AM,24,2.9124,22.227,730,1.1502,0.6064,0.48968,0.50961,0.74591
40,,9/24/2015 12:28:23 AM,24,2.7954,32.803,387,0.7378,0.56018,0.55471,0.64216,0.73233
3,,9/24/2015 12:28:26 AM,0,2.9961,28.371,663,1.1598,0.72339,0.57988,0.50959,0.52424
20,,9/24/2015 12:28:31 AM,0,2.9261,29.052,478,0.76369,0.59208,0.49483,0.74939,0.90099
20,,9/24/2015 12:28:32 AM,0,2.9261,29.052,478,0.76369,0.59208,0.49483,0.74939,0.90099
10,,9/24/2015 12:29:06 AM,0,2.8593,15.436,684,1.4757,1.0537,0.83011,0.82172,0.84687
11,,9/24/2015 12:29:07 AM,0,3.0471,29.308,0,1.5518,0.78337,0.55699,0.57784,0.61657
13,,9/24/2015 12:29:09 AM,0,3.0471,28.116,1,0.43487,0.48551,0.48253,0.49742,0.51827
24,,9/24/2015 12:29:10 AM,20,2.9537,28.966,400,0.60921,0.45907,0.46196,0.48217,0.60632
53,,9/24/2015 12:29:12 AM,24,2.9192,21.9,741,1.1614,0.61067,0.49653,0.50509,0.75335
53,,9/24/2015 12:29:14 AM,24,2.9192,21.9,741,1.1614,0.61067,0.49653,0.50509,0.75335
40,,9/24/2015 12:29:21 AM,24,2.7954,32.803,389,0.7378,0.55745,0.55471,0.64216,0.7378
3,,9/24/2015 12:29:25 AM,0,2.9961,28.371,663,1.1539,0.71167,0.57402,0.50666,0.52424
20,,9/24/2015 12:29:29 AM,0,2.9261,29.052,473,0.74939,0.58063,0.48625,0.70077,0.86094
10,,9/24/2015 12:30:05 AM,0,2.8593,15.271,685,1.4841,1.0537,0.83011,0.81893,0.84408
11,,9/24/2015 12:30:06 AM,0,3.0471,29.223,0,1.5459,0.77443,0.55699,0.57784,0.61657
13,,9/24/2015 12:30:07 AM,0,3.0545,28.032,1,0.43295,0.48669,0.48072,0.49565,0.51655
24,,9/24/2015 12:30:09 AM,20,2.9537,28.966,381,0.58034,0.4533,0.45907,0.47928,0.59766
24,,9/24/2015 12:30:10 AM,20,2.9537,28.966,381,0.58034,0.4533,0.45907,0.47928,0.59766
24,,9/24/2015 12:30:10 AM,20,2.9537,28.966,381,0.58034,0.4533,0.45907,0.47928,0.59766
24,,9/24/2015 12:30:10 AM,20,2.9537,28.966,381,0.58034,0.4533,0.45907,0.47928,0.59766
53,,9/24/2015 12:30:12 AM,24,2.8334,21.655,730,1.1079,0.60379,0.457,0.46531,0.72288
53,,9/24/2015 12:30:13 AM,24,2.8334,21.655,730,1.1079,0.60379,0.457,0.46531,0.72288
40,,9/24/2015 12:30:18 AM,24,2.783,32.714,389,0.73452,0.55225,0.54953,0.6393,0.73724
3,,9/24/2015 12:30:24 AM,0,3.0105,28.371,662,1.2213,0.78866,0.62975,0.52087,0.5297
20,,9/24/2015 12:30:27 AM,0,2.9261,29.052,477,0.76083,0.5835,0.48911,0.72651,0.88382
20,,9/24/2015 12:30:28 AM,0,2.9261,29.052,477,0.76083,0.5835,0.48911,0.72651,0.88382
10,,9/24/2015 12:31:04 AM,0,2.8527,15.106,681,1.4975,1.0541,0.82264,0.81706,0.84216
13,,9/24/2015 12:31:04 AM,0,3.0471,28.032,1,0.43189,0.48551,0.47955,0.49444,0.51529
11,,9/24/2015 12:31:05 AM,0,3.0471,29.223,0,1.531,0.77145,0.55699,0.57784,0.61657
24,,9/24/2015 12:31:08 AM,20,2.9537,29.052,452,0.68428,0.47351,0.46485,0.48217,0.60055
53,,9/24/2015 12:31:11 AM,24,2.8334,21.573,728,1.1051,0.57886,0.45977,0.47084,0.73673
40,,9/24/2015 12:31:20 AM,24,2.7892,32.714,829,1.276,0.75251,0.57802,0.65163,0.74161
3,,9/24/2015 12:31:22 AM,0,2.9961,28.371,664,1.1539,0.71167,0.57402,0.50666,0.52424
20,,9/24/2015 12:31:27 AM,0,2.9537,29.137,501,0.80266,0.59766,0.51104,0.69872,0.85463
10,,9/24/2015 12:32:02 AM,0,2.8527,15.354,687,1.4835,1.0485,0.81427,0.81427,0.83937
11,,9/24/2015 12:32:02 AM,0,3.0471,29.223,0,1.528,0.76847,0.55402,0.57784,0.62252
13,,9/24/2015 12:32:03 AM,0,3.0471,28.032,1,0.42892,0.48253,0.47955,0.49444,0.51529
24,,9/24/2015 12:32:05 AM,20,2.9606,29.052,401,0.60776,0.45726,0.46305,0.48042,0.59329
53,,9/24/2015 12:32:09 AM,24,2.9192,21.736,730,1.1643,0.61923,0.50223,0.51079,0.76477
40,,9/24/2015 12:32:18 AM,24,2.7707,32.536,760,1.1863,0.70689,0.56064,0.6446,0.73398
3,,9/24/2015 12:32:21 AM,0,2.9961,28.371,669,1.1539,0.71167,0.56817,0.50666,0.53302
20,,9/24/2015 12:32:25 AM,0,2.9537,29.052,511,0.81998,0.59766,0.50527,0.68717,0.84885
