Id,Sample #,Time,parent,voltage [V],temp,light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
20,,9/24/2015 8:15:14 AM,0,2.9261,29.308,70,0.4462,0.55775,0.58922,0.99823,1.1012
54,,9/24/2015 8:15:27 AM,0,2.39,-273.15,371,0.57005,0.81769,0.77564,0.82002,0.86441
255,,9/24/2015 8:15:30 AM,0,2.9261,29.738,530,1.1985,1.27,1.1212,0.91243,0.76369
13,,9/24/2015 8:15:50 AM,0,3.0397,25.685,780,1.2509,0.64478,0.49622,0.49919,0.51404
10,,9/24/2015 8:15:51 AM,0,2.8398,29.566,355,0.66345,0.55241,0.46081,0.51355,0.55241
11,,9/24/2015 8:15:52 AM,0,3.0323,27.105,616,1.2509,0.66397,0.51873,0.54244,0.57208
24,,9/24/2015 8:15:54 AM,10,2.9398,29.308,144,0.42531,0.43393,0.45117,0.47416,0.51439
53,,9/24/2015 8:15:58 AM,24,2.8593,25.188,6,0.44999,0.43601,0.47794,0.55061,0.7211
40,,9/24/2015 8:16:04 AM,20,2.7707,31.915,226,0.62835,0.53897,0.56335,0.65543,0.7421
3,,9/24/2015 8:16:08 AM,0,2.9889,29.652,391,1.081,1.046,1.0372,0.63693,0.5522
20,,9/24/2015 8:16:14 AM,0,2.9398,29.308,95,0.46267,0.56612,0.59486,1.0029,1.1121
54,,9/24/2015 8:16:24 AM,0,2.39,-273.15,450,0.6378,0.84572,0.78965,0.8247,0.86675
255,,9/24/2015 8:16:29 AM,0,2.9261,29.738,604,1.3472,1.3357,1.1584,0.93817,0.77227
10,,9/24/2015 8:16:50 AM,0,2.8398,29.566,404,0.7384,0.56907,0.46081,0.51355,0.55241
13,,9/24/2015 8:16:52 AM,0,3.0397,25.602,828,1.3252,0.68341,0.50513,0.49919,0.51999
11,,9/24/2015 8:16:52 AM,0,3.025,27.105,706,1.3927,0.73629,0.53817,0.54704,0.57957
24,,9/24/2015 8:16:53 AM,10,2.9398,29.308,203,0.45404,0.4368,0.45404,0.47416,0.51439
53,,9/24/2015 8:16:56 AM,24,2.8593,25.27,9,0.45278,0.43042,0.46396,0.5562,0.71831
40,,9/24/2015 8:17:02 AM,20,2.7707,31.915,227,0.65814,0.54168,0.57689,0.65543,0.73668
3,,9/24/2015 8:17:07 AM,0,2.9889,29.652,445,1.2154,1.1628,1.1365,0.68952,0.55805
20,,9/24/2015 8:17:12 AM,0,2.9261,29.308,129,0.4748,0.56919,0.59208,1.0011,1.1041
54,,9/24/2015 8:17:23 AM,0,2.39,-273.15,434,0.62612,0.84105,0.78498,0.82002,0.86208
255,,9/24/2015 8:17:28 AM,0,2.9261,29.738,592,1.3186,1.3243,1.1498,0.93245,0.76941
10,,9/24/2015 8:17:47 AM,0,2.8398,29.566,351,0.66068,0.55241,0.45803,0.508,0.54964
11,,9/24/2015 8:17:48 AM,0,3.0323,27.105,614,1.2449,0.66397,0.51873,0.5454,0.56912
13,,9/24/2015 8:17:48 AM,0,3.0397,25.602,777,1.242,0.64181,0.49622,0.50216,0.51404
24,,9/24/2015 8:17:51 AM,10,2.9398,29.308,136,0.41956,0.43393,0.45117,0.47416,0.51439
53,,9/24/2015 8:17:55 AM,24,2.8593,25.022,6,0.42763,0.42763,0.45837,0.52545,0.70154
40,,9/24/2015 8:18:01 AM,20,2.7707,31.915,226,0.65272,0.5498,0.58231,0.66356,0.7421
3,,9/24/2015 8:18:06 AM,0,2.9889,29.652,360,1.008,0.99046,0.99338,0.62232,0.54636
